,domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
1729,esxhyyeknpkorq.org,0,0,0,31,18,6,org,1
1730,fgsjgtigbubcre.co.uk,0,0,0,38,20,11,uk,1
1731,gwvmpiylugjnkk.info,0,0,0,29,19,6,info,1
1732,hkqowddhilabto.com,0,0,0,42,18,6,com,1
1733,gujsvqjiiuavv.net,0,0,0,60,17,6,net,1
1734,tykhcifugjpcw.biz,0,0,0,23,17,6,biz,1
1735,hatuvgwgwsdjx.ru,0,0,0,25,16,7,ru,1
1736,ueujcxssuhspp.org,0,0,0,45,17,6,org,1
1737,klnjljgggdhba.co.uk,0,0,0,21,19,12,uk,1
1738,xpoxrbcserwhb.info,0,0,0,31,18,6,info,1
1739,lqxllyteubkoj.com,0,0,0,33,17,6,com,1
1740,yuyarqpqspaub.net,0,0,0,45,17,6,net,1
1741,ontkabcrsyxcv.biz,0,0,0,23,17,6,biz,1
1742,pdulrsvmqcsmf.ru,0,0,0,15,16,7,ru,1
1743,psemaqpphwbpx.org,0,0,0,23,17,6,org,1
1744,qifnrijkfavax.co.uk,0,0,0,55,19,12,uk,1
1745,sexbptypqhfho.info,0,0,0,31,18,6,info,1
1746,ttychlskokarx.com,0,0,0,23,17,6,com,1
1747,tjidpjmnffiux.net,0,0,0,33,17,6,net,1
1748,uyjehbgididfx.biz,0,0,0,45,17,6,biz,1
1749,ujjhgnqniflat.ru,0,0,0,36,16,7,ru,1
1750,inkvmidwualkl.org,0,0,0,45,17,6,org,1
1751,wrtildexyslbm.co.uk,0,0,0,31,19,12,uk,1
1752,kvuwrxqhlnlln.info,0,0,0,21,18,6,info,1
1753,yanxvgnlgnsfx.com,0,0,0,14,17,6,com,1
1754,meomcbausispp.net,0,0,0,60,17,6,net,1
1755,bixybvbvwbsgx.biz,0,0,0,14,17,6,biz,1
1756,omynhqnfjvsqy.ru,0,0,0,15,16,7,ru,1
1757,dctykxjlsjtkw.org,0,0,0,7,17,6,org,1
1758,eruacstafseqw.co.uk,0,0,0,70,19,12,uk,1
1759,fkeapnwvjwtlp.info,0,0,0,31,18,6,info,1
1760,gafbhihkvgery.com,0,0,0,33,17,6,com,1
1761,hsxpaqgjqrbpp.net,0,0,0,14,17,6,net,1
1762,iiyqrlqxdblvp.biz,0,0,0,23,17,6,biz,1
1763,jbiqfgtthfbqp.ru,0,0,0,15,16,7,ru,1
1764,kqjrwbeitolwy.org,0,0,0,33,17,6,org,1
1765,tlyiupidycfmq.co.uk,0,0,0,42,19,12,uk,1
1766,hpawbhepwqusr.info,0,0,0,42,18,6,info,1
1767,uqjkuyduplyra.com,0,0,0,45,17,6,com,1
1768,iukybqyhnaoxr.net,0,0,0,45,17,6,net,1
1769,vvdcuihabxtkc.biz,0,0,0,33,17,6,biz,1
1770,jaeqbadmymjqd.ru,0,0,0,36,16,7,ru,1
1771,wbneurcrrhnpe.org,0,0,0,33,17,6,org,1
1772,kfosbjxepvdvv.co.uk,0,0,0,31,19,12,uk,1
1773,cejayabmjgdsq.info,0,0,0,42,18,6,info,1
1774,dtkbqruhhjxda.com,0,0,0,23,17,6,com,1
1775,djtcyjveapwxa.net,0,0,0,33,17,6,net,1
1776,eyudqbpyxsria.biz,0,0,0,45,17,6,biz,1
1777,eontysajlcrqq.ru,0,0,0,36,16,7,ru,1
1778,feouqktejfmba.org,0,0,0,60,17,6,org,1
1779,ftxvycubcllvs.co.uk,0,0,0,21,19,12,uk,1
1780,gjywqtovaoggs.info,0,0,0,42,18,6,info,1
1781,iaywfmplykhgm.com,0,0,0,23,17,6,com,1
1782,veallhculfhqe.net,0,0,0,45,17,6,net,1
1783,kijxkvkjrnqpm.biz,0,0,0,14,17,6,biz,1
1784,xmkmqqwseiqan.ru,0,0,0,36,16,7,ru,1
1785,kkdqffoibgvex.org,0,0,0,33,17,6,org,1
1786,xoeflabrnbvop.co.uk,0,0,0,55,19,12,uk,1
1787,msnrkojgtjfnq.info,0,0,0,21,18,6,info,1
1788,awogqjvpgefxr.com,0,0,0,33,17,6,com,1
1789,qsjojwijjopqp.net,0,0,0,33,17,6,net,1
1790,rikpbrsxvxawp.biz,0,0,0,23,17,6,biz,1
1791,sbtpogdhcryap.ru,0,0,0,25,16,7,ru,1
1792,tquqgbnvobjgy.org,0,0,0,23,17,6,org,1
1793,sdnijphglkeop.co.uk,0,0,0,42,19,12,uk,1
1794,tsojbkruxtoup.info,0,0,0,55,18,6,info,1
1795,ulxjoyceennxi.com,0,0,0,60,17,6,com,1
1796,vbykgtmsqwxer.net,0,0,0,14,17,6,net,1
1797,agwitcvjwrohi.biz,0,0,0,45,17,6,biz,1
1798,nirsntrvfdgnj.ru,0,0,0,15,16,7,ru,1
1799,blhktrjhlpruk.org,0,0,0,14,17,6,org,1
1800,oncunjfttbjbc.co.uk,0,0,0,31,19,12,uk,1
1801,ewbyjhgugdpnb.info,0,0,0,31,18,6,info,1
1802,ryvjdychoohtc.com,0,0,0,23,17,6,com,1
1803,fclbjwtsubsbk.net,0,0,0,14,17,6,net,1
1804,segldopfdmkhc.biz,0,0,0,23,17,6,biz,1
1805,elhekmstyxiuw.ru,0,0,0,50,16,7,ru,1
1806,fycjoemohttjg.org,0,0,0,33,17,6,org,1
1807,fqrgkcgrnvliy.co.uk,0,0,0,21,19,12,uk,1
1808,gemlotamvrwwy.info,0,0,0,42,18,6,info,1
1809,icluardfijjbb.com,0,0,0,45,17,6,com,1
1810,jpgaejwaqfupk.net,0,0,0,45,17,6,net,1
1811,jhvwahqdwhmok.biz,0,0,0,23,17,6,biz,1
1812,kuqceykxfdxdk.ru,0,0,0,25,16,7,ru,1
1813,ouwweydoqumjg.org,0,0,0,60,17,6,org,1
1814,cwrhxtpxabpxx.co.uk,0,0,0,21,19,12,uk,1
1815,qdhxjoqyhimky.info,0,0,0,31,18,6,info,1
1816,efcidjdiqopya.com,0,0,0,60,17,6,com,1
1817,slbntenaagnpy.net,0,0,0,33,17,6,net,1
1818,gnvxnyajjmqeq.biz,0,0,0,23,17,6,biz,1
1819,utloytbkqtnqy.ru,0,0,0,25,16,7,ru,1
1820,ivgysontaaqfa.org,0,0,0,60,17,6,org,1
1821,sahsujansbrfx.co.uk,0,0,0,42,19,12,uk,1
1822,tncxyekccrrlx.info,0,0,0,21,18,6,info,1
1823,uirtaynxjorgq.com,0,0,0,45,17,6,com,1
1824,vvmyetxmsfrma.net,0,0,0,23,17,6,net,1
1825,wqljkokycmslc.biz,0,0,0,14,17,6,biz,1
1826,xegoojunldsrc.ru,0,0,0,50,16,7,ru,1
1827,yyvkpexjsasmc.org,0,0,0,23,17,6,org,1
1828,amqptyixcqssl.co.uk,0,0,0,31,19,12,uk,1
1829,nwmxsbwkndndh.info,0,0,0,13,18,6,info,1
1830,byhimsswvofji.com,0,0,0,33,17,6,com,1
1831,ocwaskrcemhiq.net,0,0,0,45,17,6,net,1
1832,cerkmcnomxyoi.biz,0,0,0,45,17,6,biz,1
1833,phqrsgfibtiah.ru,0,0,0,36,16,7,ru,1
1834,djlcmxbujfagi.org,0,0,0,33,17,6,org,1
1835,qmbtspaardcfj.co.uk,0,0,0,31,19,12,uk,1
1836,eovemhvmaotlb.info,0,0,0,70,18,6,info,1
1837,rcwtjltupjhqv.com,0,0,0,14,17,6,com,1
1838,spryndnpxfsff.net,0,0,0,7,17,6,net,1
1839,shhvjuomgsbvf.biz,0,0,0,23,17,6,biz,1
1840,tucbnmihoomkf.ru,0,0,0,50,16,7,ru,1
1841,tmbnjqcsdacnh.org,0,0,0,14,17,6,org,1
1842,uavsnivnlvncq.co.uk,0,0,0,42,19,12,uk,1
1843,urlpjawktjvsj.info,0,0,0,31,18,6,info,1
1844,vfgunrqfcfhhj.com,0,0,0,14,17,6,com,1
1845,clmmdxeshecud.net,0,0,0,33,17,6,net,1
1846,pnhwwsqcqkfju.biz,0,0,0,14,17,6,biz,1
1847,etwnihyqahled.ru,0,0,0,50,16,7,ru,1
1848,rvrxcclajnose.org,0,0,0,33,17,6,org,1
1849,evqgddmquuwrd.co.uk,0,0,0,42,19,12,uk,1
1850,rxlqwxyaebagu.info,0,0,0,55,18,6,info,1
1851,gebhimhonxgbv.com,0,0,0,33,17,6,com,1
1852,tgvrchtxwejpw.net,0,0,0,14,17,6,net,1
1853,gqwitibrjkhqu.biz,0,0,0,33,17,6,biz,1
1854,hernxdlgsbhwu.ru,0,0,0,25,16,7,ru,1
1855,iyhjyrvpcnqau.org,0,0,0,33,17,6,org,1
1856,jmcodmgeleqge.co.uk,0,0,0,55,19,12,uk,1
1857,ibbctnjpwbcng.info,0,0,0,21,18,6,info,1
1858,jovhxitegrctg.com,0,0,0,33,17,6,com,1
1859,kjldywenpelwy.net,0,0,0,23,17,6,net,1
1860,lwgidrocyuldi.biz,0,0,0,45,17,6,biz,1
1861,tappycrdpxcrf.ru,0,0,0,15,16,7,ru,1
1862,heqcltnejrldg.org,0,0,0,23,17,6,org,1
1863,ubnjarfbjalfh.co.uk,0,0,0,42,19,12,uk,1
1864,ifovmjbcdtuqy.info,0,0,0,42,18,6,info,1
1865,xqtgouobngjwj.com,0,0,0,33,17,6,com,1
1866,luusbmkchasik.net,0,0,0,45,17,6,net,1
1867,yrrapkcyhisks.biz,0,0,0,23,17,6,biz,1
1868,mvsmccxabccvk.ru,0,0,0,15,16,7,ru,1
1869,csahdnrnqenvi.org,0,0,0,33,17,6,org,1
1870,dibgbfltkdbpr.co.uk,0,0,0,21,19,12,uk,1
1871,dtxbedflkgwjk.info,0,0,0,21,18,6,info,1
1872,ejyacuyrefkdk.com,0,0,0,45,17,6,com,1
1873,gjexsgolomubb.net,0,0,0,45,17,6,net,1
1874,hyfwqxiriliuk.biz,0,0,0,45,17,6,biz,1
1875,hkcrtvcjioeok.ru,0,0,0,50,16,7,ru,1
1876,iadqrnvpcnrik.org,0,0,0,33,17,6,org,1
1877,ayrcwphyckrri.co.uk,0,0,0,31,19,12,uk,1
1878,ndsojkttsjmla.info,0,0,0,31,18,6,info,1
1879,cdplbfujxygsb.com,0,0,0,14,17,6,com,1
1880,phqxnaheoxbmc.net,0,0,0,33,17,6,net,1
1881,epvsmiewasywm.biz,0,0,0,45,17,6,biz,1
1882,rtwfydqrqrtqe.ru,0,0,0,15,16,7,ru,1
1883,gttcqxrhvhnxm.org,0,0,0,7,17,6,org,1
1884,txuodsecmgirn.co.uk,0,0,0,55,19,12,uk,1
1885,irctbbhudqoei.info,0,0,0,70,18,6,info,1
1886,jhdsyvrxtuqpi.com,0,0,0,23,17,6,com,1
1887,kvadfqufyfdfb.net,0,0,0,23,17,6,net,1
1888,llbcdlfipjfqk.biz,0,0,0,14,17,6,biz,1
1889,migkqtesbyvjb.ru,0,0,0,25,16,7,ru,1
1890,nxhjooovrdxub.org,0,0,0,45,17,6,org,1
1891,ometujrdwnkkb.co.uk,0,0,0,42,19,12,uk,1
1892,pcfssecgnrmvk.info,0,0,0,21,18,6,info,1
1893,hqffxbqxsrtma.com,0,0,0,14,17,6,com,1
1894,uugrksmymldxb.net,0,0,0,23,17,6,net,1
1895,irdyyklppgujj.biz,0,0,0,23,17,6,biz,1
1896,vvellchqjaeub.ru,0,0,0,50,16,7,ru,1
1897,jbjyxtpuunikl.org,0,0,0,33,17,6,org,1
1898,wfklkllvohrvm.co.uk,0,0,0,21,19,12,uk,1
1899,kchsydkmrcjhn.info,0,0,0,13,18,6,info,1
1900,xgiflugnlvssf.com,0,0,0,23,17,6,com,1
1901,pjpwcmqitxfqd.net,0,0,0,14,17,6,net,1
1902,qyqvaekonwskm.biz,0,0,0,33,17,6,biz,1
1903,qknqdvlaqmgnm.ru,0,0,0,15,16,7,ru,1
1904,raopbnfgklthm.org,0,0,0,23,17,6,org,1
1905,rttqcfpfvttod.co.uk,0,0,0,21,19,12,uk,1
1906,sjupawjlpshim.info,0,0,0,42,18,6,info,1
1907,surkdokwsiulf.com,0,0,0,45,17,6,com,1
1908,tksjbgedmhiff.net,0,0,0,23,17,6,net,1
1909,nphrvogwfgbtb.biz,0,0,0,14,17,6,biz,1
1910,btieijsrvfvns.ru,0,0,0,36,16,7,ru,1
1911,ptfbaxbuedxlb.org,0,0,0,33,17,6,org,1
1912,dxgnmsnpucsfc.co.uk,0,0,0,21,19,12,uk,1
1913,pallvhfthcprm.info,0,0,0,21,18,6,info,1
1914,demxicroxbkle.com,0,0,0,45,17,6,com,1
1915,rejuaqargymjf.net,0,0,0,45,17,6,net,1
1916,fikhmlmmwxhdg.biz,0,0,0,14,17,6,biz,1
1917,virjaagsgmxgb.ru,0,0,0,36,16,7,ru,1
1918,wxsixuqvwqarb.org,0,0,0,33,17,6,org,1
1919,xmpsejbqfjuxb.co.uk,0,0,0,31,19,12,uk,1
1920,ycqrceltvnwjk.info,0,0,0,21,18,6,info,1
1921,xsvdasfpiimeb.com,0,0,0,45,17,6,com,1
1922,yiwcxnpsymopb.net,0,0,0,23,17,6,net,1
1923,awtmecanhfjvt.biz,0,0,0,33,17,6,biz,1
1924,bmulcwkqxjlhd.ru,0,0,0,15,16,7,ru,1
1925,nldfwniqemesc.org,0,0,0,33,17,6,org,1
1926,bnxnwferitoid.co.uk,0,0,0,55,19,12,uk,1
1927,ombyxdvoxonge.info,0,0,0,55,18,6,info,1
1928,covhxurpcvxvv.com,0,0,0,23,17,6,com,1
1929,rchvmsscnxfyu.net,0,0,0,14,17,6,net,1
1930,fecemkodrfpov.biz,0,0,0,45,17,6,biz,1
1931,sdfpnigahaome.ru,0,0,0,67,16,7,ru,1
1932,gfaxnacblhycv.org,0,0,0,23,17,6,org,1
1933,rqnbnyedwlkit.co.uk,0,0,0,31,19,12,uk,1
1934,seiexqxjbmpcd.info,0,0,0,42,18,6,info,1
1935,srluoorbqntvv.com,0,0,0,33,17,6,com,1
1936,tfgxyglhuoypv.net,0,0,0,23,17,6,net,1
1937,vhrrdeoogwlox.biz,0,0,0,45,17,6,biz,1
1938,wumunviukxqih.ru,0,0,0,67,16,7,ru,1
1939,wipletcmayuch.org,0,0,0,45,17,6,org,1
1940,xvkoolvseaavh.co.uk,0,0,0,70,19,12,uk,1
1941,tkfrubxmkrhuf.info,0,0,0,31,18,6,info,1
1942,hmaauvkhxscow.com,0,0,0,45,17,6,com,1
1943,vodbyqlwggvvx.net,0,0,0,14,17,6,net,1
1944,jqxjylxrthqpy.biz,0,0,0,7,17,6,biz,1
1945,xbjikgixtdibx.ru,0,0,0,36,16,7,ru,1
1946,ldeqkbushedup.org,0,0,0,45,17,6,org,1
1947,afhrovviprwcx.co.uk,0,0,0,42,19,12,uk,1
1948,nhcaoqiddsrvy.info,0,0,0,42,18,6,info,1
1949,xppnlmtkdqxot.com,0,0,0,14,17,6,com,1
1950,ydkqvhenqlset.net,0,0,0,23,17,6,net,1
1951,atnwpchuyfmpm.biz,0,0,0,23,17,6,biz,1
1952,bhiaawrxmahfv.ru,0,0,0,50,16,7,ru,1
1953,cgtebrevmcyux.org,0,0,0,33,17,6,org,1
1954,dtohlmoyawtkx.co.uk,0,0,0,42,19,12,uk,1
1955,ekrnfhrgiqnvx.info,0,0,0,31,18,6,info,1
1956,fxmqpccjvlilh.com,0,0,0,14,17,6,com,1
1957,bcsuvmjrhkpsb.net,0,0,0,14,17,6,net,1
1958,oendvefslraic.biz,0,0,0,60,17,6,biz,1
1959,cdqowvejeyqpk.ru,0,0,0,36,16,7,ru,1
