domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
vqbajpjxemjhhird.eu,0,0,0,38,19,6,eu,1
xafodmuwqyvttued.eu,0,0,0,64,19,6,eu,1
podwlbbkiallcpix.eu,0,0,0,50,19,6,eu,1
rxtxfxyvhmxxocix.eu,0,0,0,29,19,6,eu,1
pvvfwonosbmnuupk.eu,0,0,0,50,19,6,eu,1
rfaheyynfbmnuupk.eu,0,0,0,50,19,6,eu,1
pdcoipngqpnpnnkk.eu,0,0,0,29,19,6,eu,1
rmspcmyfdpnpnnkk.eu,0,0,0,12,19,6,eu,1
pkuwgdnxbecftgfk.eu,0,0,0,29,19,6,eu,1
rtllnaywnqorggfk.eu,0,0,0,29,19,6,eu,1
prnsrqapyfdhmymw.eu,0,0,0,20,19,6,eu,1
rbrhynlolfdhmymw.eu,0,0,0,20,19,6,eu,1
pygodrahwtejfrhw.eu,0,0,0,38,19,6,eu,1
rikdkolgjtejfrhw.eu,0,0,0,38,19,6,eu,1
pgmkofayhislxwoj.eu,0,0,0,50,19,6,eu,1
rpdyiclxtuflxwoj.eu,0,0,0,38,19,6,eu,1
pnfgagaqfwtnqpjj.eu,0,0,0,29,19,6,eu,1
rwvhtpxcrjtnqpjj.eu,0,0,0,12,19,6,eu,1
puxoxgmupxupjiej.eu,0,0,0,80,19,6,eu,1
recqfqxtcxupjiej.eu,0,0,0,50,19,6,eu,1
jsaynfehtlwtepuq.eu,0,0,0,50,19,6,eu,1
lcenucpgglwtepuq.eu,0,0,0,50,19,6,eu,1
jaguysqlealjkipq.eu,0,0,0,64,19,6,eu,1
ljwvspcxqmxvwucq.eu,0,0,0,20,19,6,eu,1
jhydktqdcomldbkq.eu,0,0,0,20,19,6,eu,1
lqpreqcpobmldbkq.eu,0,0,0,29,19,6,eu,1
joryihqumpnnvgrd.eu,0,0,0,38,19,6,eu,1
lxinpechmpnnvgrd.eu,0,0,0,29,19,6,eu,1
jvkutudmkecdcmmd.eu,0,0,0,38,19,6,eu,1
lfojbfcywqopoyyp.eu,0,0,0,38,19,6,eu,1
jdqqfvdeisdfurtp.eu,0,0,0,38,19,6,eu,1
lmhfmsodufdfurtp.eu,0,0,0,38,19,6,eu,1
jkjmqjdvstehnkop.eu,0,0,0,29,19,6,eu,1
ltabxgouftehnkop.eu,0,0,0,64,19,6,eu,1
jrcickdnqisjgdjp.eu,0,0,0,29,19,6,eu,1
lbgwvtbmdisjgdjp.eu,0,0,0,20,19,6,eu,1
jyuqaxprbwtlyiqc.eu,0,0,0,38,19,6,eu,1
liyfhubebwtlyiqc.eu,0,0,0,50,19,6,eu,1
jgbaylpjyxunrblc.eu,0,0,0,29,19,6,eu,1
lprbsibvlxunrblc.eu,0,0,0,29,19,6,eu,1
dedwbkhvplwrmicw.eu,0,0,0,29,19,6,eu,1
fntxutfuclwrmicw.eu,0,0,0,38,19,6,eu,1
dlvfmxtanalhsbwj.eu,0,0,0,29,19,6,eu,1
fumtgufmaalhsbwj.eu,0,0,0,50,19,6,eu,1
dsobxltrxbmjltej.eu,0,0,0,29,19,6,eu,1
fcsprifexbmjltej.eu,0,0,0,38,19,6,eu,1
dauwvygjvpnlemyv.eu,0,0,0,38,19,6,eu,1
fjlldjfvipnlemyv.eu,0,0,0,29,19,6,eu,1
dhnshatbtecbkftv.eu,0,0,0,29,19,6,eu,1
fqehowragecbkftv.eu,0,0,0,50,19,6,eu,1
dogosngsesdddxbv.eu,0,0,0,38,19,6,eu,1
fxwpmkrrqfdddxbv.eu,0,0,0,12,19,6,eu,1
dvywqbgkchrfvdvi.eu,0,0,0,20,19,6,eu,1
ffdyxxejotefvdvi.eu,0,0,0,50,19,6,eu,1
ddfgpcgcavshovdi.eu,0,0,0,38,19,6,eu,1
fmvhjyebmishovdi.eu,0,0,0,50,19,6,eu,1
dkxonpsgkwtjhoxu.eu,0,0,0,38,19,6,eu,1
ftodumeswjtjhoxu.eu,0,0,0,64,19,6,eu,1
wumldoksbkvncvop.eu,0,0,0,38,19,6,eu,1
yeqaklvrnwincvop.eu,0,0,0,50,19,6,eu,1
wcshockkylwpubjp.eu,0,0,0,29,19,6,eu,1
yljviyijllwpubjp.eu,0,0,0,38,19,6,eu,1
wjldadkcwalfbhep.eu,0,0,0,38,19,6,eu,1
yscrtmibjalfbhep.eu,0,0,0,38,19,6,eu,1
wqeyxdwghomhtmlc.eu,0,0,0,29,19,6,eu,1
yainfnistbmhtmlc.eu,0,0,0,38,19,6,eu,1
wxwhjewxrpnjmfgc.eu,0,0,0,20,19,6,eu,1
yhbjqbikrpnjmfgc.eu,0,0,0,20,19,6,eu,1
wfdqurjppecyfxno.eu,0,0,0,38,19,6,eu,1
yotroouocecyfxno.eu,0,0,0,100,19,6,eu,1
wmvysfjhnsdblqio.eu,0,0,0,29,19,6,eu,1
yvmnapugasdblqio.eu,0,0,0,64,19,6,eu,1
wtouegjyxtedejdo.eu,0,0,0,80,19,6,eu,1
ydsjlduxktedejdo.eu,0,0,0,50,19,6,eu,1
wbuqptvdvisfwokb.eu,0,0,0,38,19,6,eu,1
yklfwqhpiisfwokb.eu,0,0,0,38,19,6,eu,1
qyjnfsnpmvhjrvbv.eu,0,0,0,12,19,6,eu,1
sincmpyoyihjrvbv.eu,0,0,0,38,19,6,eu,1
qgpjqgnhkkvlkovi.eu,0,0,0,29,19,6,eu,1
spgxkdygwwilkovi.eu,0,0,0,38,19,6,eu,1
qnifchnyulwndhqi.eu,0,0,0,38,19,6,eu,1
swygvqlxhlwndhqi.eu,0,0,0,20,19,6,eu,1
qubbnuaqsaldjali.eu,0,0,0,80,19,6,eu,1
sefphrlpfaldjali.eu,0,0,0,50,19,6,eu,1
qchwliaiqomfcssu.eu,0,0,0,64,19,6,eu,1
slxxfflhdomfcssu.eu,0,0,0,29,19,6,eu,1
qjaswvmmbdbuuxau.eu,0,0,0,64,19,6,eu,1
ssqtqsxlnpnhuxau.eu,0,0,0,38,19,6,eu,1
qqsbiwmeyecwnquh.eu,0,0,0,50,19,6,eu,1
sawpctxdlecwnquh.eu,0,0,0,38,19,6,eu,1
qxlwgkmvjsdygjph.eu,0,0,0,12,19,6,eu,1
shplnhxuvfdygjph.eu,0,0,0,20,19,6,eu,1
qfrsrxyahhrbmckh.eu,0,0,0,20,19,6,eu,1
soihyukmttebmckh.eu,0,0,0,50,19,6,eu,1
kdtphwqmxhgfhjbc.eu,0,0,0,12,19,6,eu,1
mmkeotcykhgfhjbc.eu,0,0,0,29,19,6,eu,1
kkmlskqevvhhacvo.eu,0,0,0,38,19,6,eu,1
mtdaaucqivhhacvo.eu,0,0,0,80,19,6,eu,1
krfhelqvgkvjshdo.eu,0,0,0,29,19,6,eu,1
mbjvxuouswijshdo.eu,0,0,0,64,19,6,eu,1
kyxpcydneywllaxb.eu,0,0,0,29,19,6,eu,1
micrjvomqlwllaxb.eu,0,0,0,38,19,6,eu,1
kgeynmdfcnlbrsfb.eu,0,0,0,20,19,6,eu,1
mpuaujoeoalbrsfb.eu,0,0,0,100,19,6,eu,1
knwhyadwmomdklab.eu,0,0,0,38,19,6,eu,1
mwnvswbvybmdklab.eu,0,0,0,20,19,6,eu,1
kupdkbdokdbsdeun.eu,0,0,0,50,19,6,eu,1
metrexbnwpnfdeun.eu,0,0,0,50,19,6,eu,1
kcvyiopsuecuvjcn.eu,0,0,0,64,19,6,eu,1
mlmnplbfuecuvjcn.eu,0,0,0,38,19,6,eu,1
kjoutcpkssdwocwa.eu,0,0,0,50,19,6,eu,1
msfjbmbwfsdwocwa.eu,0,0,0,29,19,6,eu,1
ehqrjbhwjgfbwjnu.eu,0,0,0,29,19,6,eu,1
gqhgqxfvvsrnjjnu.eu,0,0,0,20,19,6,eu,1
eojnuotbhugdpciu.eu,0,0,0,100,19,6,eu,1
gxaccyfnthgdpciu.eu,0,0,0,38,19,6,eu,1
evcjgptsrvhfiuph.eu,0,0,0,38,19,6,eu,1
gfgxamffrvhfiuph.eu,0,0,0,38,19,6,eu,1
edifrdtkpkvhbnkh.eu,0,0,0,29,19,6,eu,1
gmyglafwckvhbnkh.eu,0,0,0,20,19,6,eu,1
ekbbdetcnywjtsrt.eu,0,0,0,29,19,6,eu,1
gtrcwnrbaywjtsrt.eu,0,0,0,20,19,6,eu,1
ertjbrgtxalymlmt.eu,0,0,0,29,19,6,eu,1
gbxxubrskalymlmt.eu,0,0,0,29,19,6,eu,1
eymfmfglvombseht.eu,0,0,0,38,19,6,eu,1
giqtgcrkiombseht.eu,0,0,0,50,19,6,eu,1
egsbxsspgdbqlwog.eu,0,0,0,29,19,6,eu,1
gpjprpecgdbqlwog.eu,0,0,0,29,19,6,eu,1
enlwvgshercsepjg.eu,0,0,0,38,19,6,eu,1
gwcldqetqecsepjg.eu,0,0,0,38,19,6,eu,1
xxatlfkturqjyjab.eu,0,0,0,38,19,6,eu,1
aueiscvshrqjyjab.eu,0,0,0,64,19,6,eu,1
xfgpwswxfgfyrcun.eu,0,0,0,20,19,6,eu,1
ackeedvkfgfyrcun.eu,0,0,0,50,19,6,eu,1
xmyxugwpdugbxucn.eu,0,0,0,38,19,6,eu,1
ajdapqicdugbxucn.eu,0,0,0,64,19,6,eu,1
xtrtghwhbjudqnwa.eu,0,0,0,29,19,6,eu,1
aqvineitnvhdqnwa.eu,0,0,0,64,19,6,eu,1
xbxprujylkvfjgra.eu,0,0,0,29,19,6,eu,1
axoeyruxxwifjgra.eu,0,0,0,80,19,6,eu,1
xiqldvjqjywhcyym.eu,0,0,0,20,19,6,eu,1
afuaksupvlwhcyym.eu,0,0,0,50,19,6,eu,1
xpjhojjihnlwuetm.eu,0,0,0,50,19,6,eu,1
amnviguhtalwuetm.eu,0,0,0,80,19,6,eu,1
xwcdakjafcambkom.eu,0,0,0,50,19,6,eu,1
atgrtthyeomynwbm.eu,0,0,0,38,19,6,eu,1
xeiyxkvepdbotpvy.eu,0,0,0,50,19,6,eu,1
abmnfuhqcdbotpvy.eu,0,0,0,38,19,6,eu,1
rckvnjnqgqpfowmt.eu,0,0,0,20,19,6,eu,1
tlbkugypsdpfowmt.eu,0,0,0,29,19,6,eu,1
rjdrywaiefeuhpht.eu,0,0,0,64,19,6,eu,1
tstsstlhqrqhhpht.eu,0,0,0,12,19,6,eu,1
rqvakxaactfwaict.eu,0,0,0,64,19,6,eu,1
taacrulybgfwaict.eu,0,0,0,64,19,6,eu,1
rxovilarmugysnjg.eu,0,0,0,50,19,6,eu,1
thskpilqyhgysnjg.eu,0,0,0,20,19,6,eu,1
rfurtymvwvhbygeg.eu,0,0,0,29,19,6,eu,1
tolgbjliwvhbygeg.eu,0,0,0,38,19,6,eu,1
rmnnfaabixvdryls.eu,0,0,0,38,19,6,eu,1
tvecmwxmhkvdryls.eu,0,0,0,20,19,6,eu,1
rtgjqnmfsywfkrgs.eu,0,0,0,12,19,6,eu,1
tdkxkkxefywfkrgs.eu,0,0,0,20,19,6,eu,1
rbmfcomwdnludkbs.eu,0,0,0,29,19,6,eu,1
tkdtvxkvpaludkbs.eu,0,0,0,29,19,6,eu,1
rifbncmobcakjdvf.eu,0,0,0,38,19,6,eu,1
trvchyknnomwvpif.eu,0,0,0,29,19,6,eu,1
lghxpnqnrcobekma.eu,0,0,0,38,19,6,eu,1
npxyjkcarcobekma.eu,0,0,0,50,19,6,eu,1
lnatboqfpqpdwptm.eu,0,0,0,29,19,6,eu,1
nwquuxoecqpdwptm.eu,0,0,0,50,19,6,eu,1
luscmcqwafespiom.eu,0,0,0,64,19,6,eu,1
newqgyovmrqfpiom.eu,0,0,0,50,19,6,eu,1
lcyxkpdoxgfuibjm.eu,0,0,0,38,19,6,eu,1
nlpmrmonkgfuibjm.eu,0,0,0,38,19,6,eu,1
ljrtvddgvugwbtqy.eu,0,0,0,20,19,6,eu,1
nsiidnofiugwbtqy.eu,0,0,0,64,19,6,eu,1
lqkphedxgjuytyxl.eu,0,0,0,29,19,6,eu,1
naoeobowsvhytyxl.eu,0,0,0,64,19,6,eu,1
lxdlsrpcexvbafgy.eu,0,0,0,29,19,6,eu,1
nhhaacooqkvbafgy.eu,0,0,0,64,19,6,eu,1
lfjhesptoywdsknl.eu,0,0,0,29,19,6,eu,1
noavxcbgoywdsknl.eu,0,0,0,38,19,6,eu,1
lmcdpgplmnlsldil.eu,0,0,0,20,19,6,eu,1
nvsejdbxyalsldil.eu,0,0,0,38,19,6,eu,1
fkeaffhxdbnwgkys.eu,0,0,0,29,19,6,eu,1
htubyofwpnawgkys.eu,0,0,0,38,19,6,eu,1
frwidstcbpoyypgs.eu,0,0,0,29,19,6,eu,1
hbbkkpfoncoyypgs.eu,0,0,0,29,19,6,eu,1
fypeogttlqpbfvbs.eu,0,0,0,29,19,6,eu,1
hitsidfglqpbfvbs.eu,0,0,0,29,19,6,eu,1
fgvaahtljfeqxbvf.eu,0,0,0,38,19,6,eu,1
hpmotqrkvrqdxbvf.eu,0,0,0,20,19,6,eu,1
fnovxhgdhtfsqtdf.eu,0,0,0,20,19,6,eu,1
hwfkfrrctgfsqtdf.eu,0,0,0,12,19,6,eu,1
fuhrjigurugujmxr.eu,0,0,0,64,19,6,eu,1
helgqfrteugujmxr.eu,0,0,0,50,19,6,eu,1
fcnnuvsycjuwcfsr.eu,0,0,0,29,19,6,eu,1
hleccgrlcjuwcfsr.eu,0,0,0,29,19,6,eu,1
fjgjgwsqaxvyukar.eu,0,0,0,38,19,6,eu,1
hswkatedaxvyukar.eu,0,0,0,64,19,6,eu,1
fqyreksixywbbque.eu,0,0,0,50,19,6,eu,1
hadtlheukywbbque.eu,0,0,0,64,19,6,eu,1
fxrnpxfavnlqtvce.eu,0,0,0,29,19,6,eu,1
hhvcwuqyualqtvce.eu,0,0,0,50,19,6,eu,1
yitkfwwyynauodgy.eu,0,0,0,50,19,6,eu,1
bfxyygilynauodgy.eu,0,0,0,50,19,6,eu,1
ypmgqkwqwcowhvnl.eu,0,0,0,20,19,6,eu,1
bmqukhidwcowhvnl.eu,0,0,0,38,19,6,eu,1
ywfcclwiuqpyaoil.eu,0,0,0,64,19,6,eu,1
