domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
e070o6o4a0kvs4e.cc,0,0,39,100,18,10,cc,1
e070o6o4a0kvs4e.ws,0,1,39,100,18,10,ws,1
e070o6o4a0kvs4e.sg,0,0,39,100,18,10,sg,1
e070o6o4a0kvs4e.in,0,1,39,150,18,10,in,1
utaxqxc67hala0k.ddns.net,0,0,12,36,24,11,net,1
utaxqxc67hala0k.cn,0,0,17,40,18,7,cn,1
utaxqxc67hala0k.com,0,0,16,50,19,7,com,1
utaxqxc67hala0k.cc,0,0,17,40,18,7,cc,1
utaxqxc67hala0k.ws,0,1,17,40,18,7,ws,1
utaxqxc67hala0k.sg,0,0,17,40,18,7,sg,1
utaxqxc67hala0k.in,0,1,17,56,18,7,in,1
38uf1tm8anivutw4e21rgfu.ddns.net,0,0,22,44,32,9,net,1
38uf1tm8anivutw4e21rgfu.cn,0,0,27,50,26,6,cn,1
38uf1tm8anivutw4e21rgfu.com,0,0,26,58,27,5,com,1
38uf1tm8anivutw4e21rgfu.cc,0,0,27,50,26,6,cc,1
38uf1tm8anivutw4e21rgfu.ws,2,1,27,50,26,6,ws,1
38uf1tm8anivutw4e21rgfu.sg,0,0,27,50,26,6,sg,1
38uf1tm8anivutw4e21rgfu.in,0,1,27,64,26,6,in,1
1v1jg8gda4s8enm.ddns.net,0,0,21,21,24,12,net,1
1v1jg8gda4s8enm.cn,0,0,28,20,18,8,cn,1
1v1jg8gda4s8enm.com,0,0,26,30,19,8,com,1
1v1jg8gda4s8enm.cc,0,0,28,20,18,8,cc,1
1v1jg8gda4s8enm.ws,0,1,28,20,18,8,ws,1
1v1jg8gda4s8enm.sg,0,0,28,20,18,8,sg,1
1v1jg8gda4s8enm.in,2,1,28,33,18,8,in,1
enyxs2i050klgn1.ddns.net,0,0,21,21,24,12,net,1
enyxs2i050klgn1.cn,0,0,28,20,18,8,cn,1
enyxs2i050klgn1.com,0,0,26,30,19,8,com,1
enyxs2i050klgn1.cc,0,0,28,20,18,8,cc,1
enyxs2i050klgn1.ws,0,1,28,20,18,8,ws,1
enyxs2i050klgn1.sg,0,0,28,20,18,8,sg,1
enyxs2i050klgn1.in,1,1,28,33,18,8,in,1
5rs856s4cpuvkbcj1ninclo.ddns.net,0,0,19,20,32,8,net,1
5rs856s4cpuvkbcj1ninclo.cn,0,0,23,19,26,5,cn,1
5rs856s4cpuvkbcj1ninclo.com,0,0,22,25,27,5,com,1
5rs856s4cpuvkbcj1ninclo.cc,0,0,23,19,26,5,cc,1
5rs856s4cpuvkbcj1ninclo.ws,0,1,23,19,26,5,ws,1
5rs856s4cpuvkbcj1ninclo.sg,0,0,23,19,26,5,sg,1
5rs856s4cpuvkbcj1ninclo.in,2,1,23,27,26,5,in,1
ohs6g0e0wh32apu2ovupuhu.ddns.net,0,0,19,60,32,8,net,1
ohs6g0e0wh32apu2ovupuhu.cn,0,0,23,73,26,5,cn,1
ohs6g0e0wh32apu2ovupuhu.com,0,0,22,82,27,5,com,1
ohs6g0e0wh32apu2ovupuhu.cc,0,0,23,73,26,5,cc,1
ohs6g0e0wh32apu2ovupuhu.ws,1,1,23,73,26,5,ws,1
ohs6g0e0wh32apu2ovupuhu.sg,0,0,23,73,26,5,sg,1
ohs6g0e0wh32apu2ovupuhu.in,0,1,23,90,26,5,in,1
chcv7j1414581va.ddns.net,0,0,33,17,24,14,net,1
chcv7j1414581va.cn,0,0,44,12,18,11,cn,1
chcv7j1414581va.com,0,0,42,25,19,10,com,1
chcv7j1414581va.cc,0,0,44,12,18,11,cc,1
chcv7j1414581va.ws,0,1,44,12,18,11,ws,1
chcv7j1414581va.sg,0,0,44,12,18,11,sg,1
chcv7j1414581va.in,0,1,44,29,18,11,in,1
khm2s0exarilw43nqfw.ddns.net,0,0,14,22,28,9,net,1
khm2s0exarilw43nqfw.cn,0,0,18,21,22,6,cn,1
khm2s0exarilw43nqfw.com,0,0,17,29,23,6,com,1
khm2s0exarilw43nqfw.cc,0,0,18,21,22,6,cc,1
khm2s0exarilw43nqfw.ws,1,1,18,21,22,6,ws,1
