domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
iwcacfazxhjflwbp.com,2,0,0,27,20,5,com,1
dxjqosknsbdsxv.com,2,0,0,13,18,6,com,1
sklxomytdxaks.com,2,0,0,23,17,6,com,1
pdldczgeo.com,2,0,0,33,13,8,com,1
yjstlxgtp.com,2,0,0,9,13,8,com,1
gljrytmpduaj.com,1,0,0,25,16,7,com,1
jbakiuvnwzsjdxnel.com,2,0,0,33,21,5,com,1
zxiqboexiajxqloi.com,2,0,0,73,20,5,com,1
lduymysp.com,2,0,0,22,12,9,com,1
ouweqqqulatzbapimk.com,2,0,0,62,22,5,com,1
evtwsocthagxii.com,2,0,0,55,18,6,com,1
jencdczieymndl.com,2,0,0,31,18,6,com,1
dsitljeszzrcssklnzsn.com,2,0,0,15,24,4,com,1
ehqxvibdeznlgondcl.com,2,0,0,31,22,5,com,1
wknrzxbyqitbvmb.com,2,0,0,12,19,6,com,1
jrjnwbtbcj.com,2,0,0,8,14,8,com,1
jlgkryapwhkpijdhf.com,2,1,0,18,21,5,com,1
qzonyzjmb.com,2,1,0,20,13,8,com,1
sjmybncihjnurorwzwic.com,2,0,0,28,24,4,com,1
oylyehqeacftoqu.com,2,0,0,64,19,6,com,1
cymjplewtwpjkrddayw.com,2,0,0,16,23,5,com,1
ojglbpuhj.com,2,0,0,33,13,8,com,1
lndrfftxuxufm.com,2,0,0,23,17,6,com,1
qrpvzpehdsfjksr.com,2,0,0,12,19,6,com,1
saeuwnfvjabtwktmut.com,2,0,0,40,22,5,com,1
zdfbihqkgy.com,2,0,0,18,14,8,com,1
qiqfopgefy.com,2,0,0,44,14,8,com,1
xujqapatruvqx.com,2,0,0,45,17,6,com,1
qzipvxqoifoh.com,2,0,0,50,16,7,com,1
noorkdfzemb.com,2,0,0,40,15,7,com,1
piryjwnnpoxhvc.com,2,0,0,21,18,6,com,1
eblrbsnrh.com,2,0,0,20,13,8,com,1
ryvpnujxiorxolxikvbf.com,2,0,0,35,24,4,com,1
odcvtvplb.com,2,0,0,20,13,8,com,1
fcwnlycnjfbl.com,2,0,0,7,16,7,com,1
zenfegwwxlntxjzbyu.com,2,0,0,24,22,5,com,1
mjaaewwcnlifj.com,2,0,0,45,17,6,com,1
pwtzehyagn.com,2,0,0,30,14,8,com,1
dveymnxutopll.com,2,0,0,33,17,6,com,1
oqblhiudodjjre.com,2,0,0,55,18,6,com,1
cnbxwxyyefxczz.com,2,0,0,13,18,6,com,1
pytpmgfqmnmdwxm.com,2,0,0,6,19,6,com,1
vrdbuimqkgkgujdix.com,2,0,0,33,21,5,com,1
xdepklriofldq.com,2,0,0,33,17,6,com,1
nwenznjsve.com,2,0,0,30,14,8,com,1
dzhlenlolknhinqafg.com,2,0,0,31,22,5,com,1
viweabkkfe.com,2,0,0,62,14,8,com,1
lscyqrjofqmtn.com,2,1,0,14,17,6,com,1
ltcfpuctidqqqxxzpikz.com,2,1,0,21,24,4,com,1
wowsfhnnvlwhlotryvh.com,2,0,0,16,23,5,com,1
linbzxpkmdtngnbdg.com,2,0,0,11,21,5,com,1
sjytgtnkdl.com,2,0,0,8,14,8,com,1
zkkfpkbbfnmihohix.com,2,0,0,25,21,5,com,1
vjuxtixi.com,2,0,0,57,12,9,com,1
ntrshvquunyzxevkucs.com,2,0,0,29,23,5,com,1
lxpcmncky.com,2,0,0,9,13,8,com,1
pjgnhujlmwtgf.com,2,0,0,14,17,6,com,1
pvqwziehrqscosb.com,2,0,0,29,19,6,com,1
qxcrbliabignczlmuc.com,2,0,0,31,22,5,com,1
okenhqzgxngnkbwouvfm.com,2,0,0,28,24,4,com,1
oismeark.com,2,0,0,83,12,9,com,1
bfgtwvhgsibiufmcerl.com,2,0,0,29,23,5,com,1
wxluitpliymeoirc.com,2,0,0,58,20,5,com,1
mzwfwjayhom.com,2,0,0,27,15,7,com,1
kvmihtamuopvagdlrwzg.com,2,0,0,35,24,4,com,1
rtlwqvhwuisfnery.com,2,0,0,27,20,5,com,1
xzfqmrfmyuaxs.com,2,0,0,23,17,6,com,1
xtvklujmo.com,1,0,0,33,13,8,com,1
dxkirxfzwhnnah.com,2,0,0,21,18,6,com,1
vyeaukkyszhdeug.com,2,0,0,50,19,6,com,1
kcubcfuhwwn.com,2,0,0,27,15,7,com,1
cpejcogzznpudbsmaxxm.com,2,0,0,28,24,4,com,1
zvwbjvhfrkqciz.com,2,0,0,13,18,6,com,1
pnqclaedmavju.com,2,0,0,45,17,6,com,1
kwsrmhroj.com,2,0,0,20,13,8,com,1
qwtzjokvjfvecysgypbd.com,2,0,0,15,24,4,com,1
lldpoyrzfi.com,2,1,0,30,14,8,com,1
chbqrhunxg.com,2,0,0,18,14,8,com,1
iqhbyacfnea.com,2,1,0,56,15,7,com,1
lgsfbhyyrrnalpcbqkob.com,2,0,0,15,24,4,com,1
fktihyjhkomdxqkucg.com,2,0,0,24,22,5,com,1
yqmodbxjxgczajstz.com,2,0,0,18,21,5,com,1
vltnftcjrzrxnhfwgf.com,2,0,0,5,22,5,com,1
wchdbyuteue.com,2,0,0,56,15,7,com,1
zpqwczqatnmmb.com,2,0,0,14,17,6,com,1
bunzvlesey.com,2,0,0,44,14,8,com,1
cdqvfoezutpworgjg.com,2,0,0,33,21,5,com,1
ytnxvxnlumzvtdelo.com,2,0,0,25,21,5,com,1
ykvmiyfbbaqgryd.com,2,0,0,20,19,6,com,1
yyuihmtl.com,2,0,0,38,12,9,com,1
upijkzzgohsviiufgwj.com,2,0,0,47,23,5,com,1
jhkkssojlwnyjgnsslm.com,2,0,0,10,23,5,com,1
zlohhvqhqgyvbhbhe.com,2,0,0,18,21,5,com,1
pjgwxsqwbdqh.com,2,0,0,7,16,7,com,1
zjwceimakuvaieqxzdi.com,2,0,0,69,23,5,com,1
qtermfciofx.com,2,0,0,40,15,7,com,1
obhmbdjxkgmzw.com,2,0,0,14,17,6,com,1
daobcnqwefamhdfcs.com,2,0,0,33,21,5,com,1
ktlwxakbho.com,2,0,0,30,14,8,com,1
kbvmxwjxtvncddaiyb.com,2,0,0,17,22,5,com,1
raxlendajlubxdhq.com,2,0,0,36,20,5,com,1
aqazrrwmzrvrvoshpi.com,2,0,0,31,22,5,com,1
