domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
eff8ea9074425d1eb1ca9265199c708c.org,0,0,56,67,36,7,org,1
eff8ea9074425d1eb1ca9265199c708c.co.cc,0,0,53,60,38,12,cc,1
83245eb780a7f7851b87b7391b350f9b.co.cc,0,0,61,30,38,15,cc,1
2bf793ae71e5ec319056df932729a9d6.org,0,0,58,75,36,7,org,1
2bf793ae71e5ec319056df932729a9d6.co.cc,0,0,55,67,38,13,cc,1
b987f71f017da5dd31bb3163b5be8674.org,0,0,56,25,36,7,org,1
5ca76c0816b4c8b187ec94a126343d11.org,0,0,61,44,36,8,org,1
5ca76c0816b4c8b187ec94a126343d11.co.cc,0,0,58,40,38,14,cc,1
fb090368e03c4a2d09a25dd367747c53.org,0,0,61,44,36,8,org,1
fb090368e03c4a2d09a25dd367747c53.co.cc,0,0,58,40,38,14,cc,1
ad0aa023813c392913cd50be20cfdd51.co.cc,0,0,50,42,38,12,cc,1
259dddf3acf62544a058ae4381365572.org,0,0,61,62,36,8,org,1
259dddf3acf62544a058ae4381365572.co.cc,0,0,58,56,38,14,cc,1
8916ebf31ce3ddd3dca6d0bda248eb7d.org,0,0,39,40,36,5,org,1
24d86baa12c214c75e6ed15b251916bb.org,0,0,56,50,36,7,org,1
24d86baa12c214c75e6ed15b251916bb.co.cc,0,0,53,45,38,12,cc,1
d2c6849ad5cea4aa9f2fa7459fd15710.org,0,0,50,70,36,6,org,1
d2c6849ad5cea4aa9f2fa7459fd15710.co.cc,0,0,47,64,38,11,cc,1
33c972a8a5192ae33393101f2973fdfe.co.cc,0,0,58,75,38,14,cc,1
29ef7c0e01df40af2374c4e500320ef8.org,0,0,56,67,36,7,org,1
29ef7c0e01df40af2374c4e500320ef8.co.cc,0,0,53,60,38,12,cc,1
529c7d6ebb2fa69563342aee68b1803a.org,0,0,56,88,36,7,org,1
b391c81f613e8473965df15e596de289.org,0,0,64,50,36,8,org,1
